"question_No","°³³ä°ª"
1,51
2,48
3,22
4,21
5,21
6,21
7,21
8,62
9,61
1,63
11,1196
12,48
13,21
14,32
15,823
16,13
17,44
18,813
19,813
2,37
21,1697
22,813
23,39
24,21
25,37
26,13
27,44
28,44
29,19
3,21
31,19
32,21
33,18
34,52
35,825
36,39
37,52
38,13
39,53
4,53
41,54
42,23
43,48
44,48
45,18
46,3
47,18
48,3
49,21
5,3
51,12
52,18
53,54
54,64
55,61
56,39
57,61
58,2113
59,12
6,12
61,2112
62,39
63,39
64,32
65,39
66,51
67,64
68,5
69,12
7,119
71,5
72,47
73,48
74,48
75,12
76,13
77,13
78,39
79,51
8,39
81,16
82,18
83,39
84,4
85,14
86,14
87,14
88,14
89,221
9,14
91,14
92,14
93,12
94,12
95,12
96,28
97,18
98,19
99,18
1,18
11,4
12,21
14,21
15,21
16,21
17,28
18,61
19,61
11,61
111,61
112,61
113,61
114,21
115,61
116,61
117,61
118,61
119,63
12,61
121,61
122,61
123,61
124,61
125,61
126,53
127,61
128,52
129,56
13,41
131,12
132,28
133,18
134,28
135,26
136,4
137,4
138,33
139,22
14,41
141,41
142,41
143,41
144,41
145,26
146,22
147,22
148,18
149,18
15,22
151,21
152,18
153,19
154,18
155,815
156,33
157,14
158,61
159,24
16,17
161,19
162,19
163,21
164,14
165,18
166,21
167,41
168,61
169,14
17,19
171,827
172,14
173,827
174,827
175,13
176,21
177,21
178,21
179,23
18,23
181,827
182,21
183,21
184,23
185,13
186,75
187,75
188,75
189,75
19,75
191,75
192,75
193,75
194,75
195,75
196,16
197,75
198,75
199,14
2,14
21,75
22,827
23,13
24,828
25,14
27,16
28,14
29,13
21,37
211,47
212,12
213,68
214,2146
215,68
216,68
217,21
218,37
219,2147
22,18
221,21
222,47
223,47
224,47
225,47
226,14
227,47
228,51
229,33
23,18
231,47
232,61
233,14
234,18
235,61
236,18
237,21
238,21
239,21
241,22
242,21
243,21
244,21
245,19
246,21
247,18
248,12
249,21
25,12
251,22
252,13
253,18
254,17
255,13
256,35
257,13
258,17
259,18
26,17
261,21
262,13
263,17
264,17
265,12
266,18
267,13
268,19
269,19
27,48
271,52
272,61
273,19
274,72
275,48
276,711
277,718
278,5
279,14
28,13
281,13
282,33
283,21
284,64
285,64
286,221
287,64
288,221
289,64
29,41
291,18
292,221
293,12
294,59
295,72
296,39
297,74
298,18
299,14
3,13
31,18
33,51
34,21
35,12
36,19
37,13
38,51
39,19
31,21
311,21
312,51
313,21
314,21
315,19
316,46
317,21
318,51
319,16
32,13
321,13
322,51
323,12
324,13
325,61
326,26
327,18
328,19
329,12
33,19
331,37
332,37
333,64
334,64
335,64
336,17
337,17
338,51
339,21
34,12
341,52
342,41
343,13
344,13
345,19
346,13
347,33
348,54
349,5
35,32
351,53
352,26
353,22
354,32
355,32
356,21
357,12
358,52
359,18
36,21
361,5
362,51
363,51
364,51
365,52
366,52
367,52
368,52
369,52
371,52
372,52
373,52
374,52
375,52
376,52
377,52
378,52
379,52
38,52
381,13
382,41
383,21
384,2115
385,21
386,21
387,35
388,12
389,21
39,39
391,48
392,13
393,12
394,12
395,58
396,12
397,58
398,58
399,12
4,2141
41,41
42,13
43,23
44,23
45,35
46,48
47,16
48,16
49,56
41,12
411,21
412,14
413,14
414,1767
415,13
416,1766
417,19
418,14
419,14
42,12
421,12
422,14
423,14
424,14
425,14
426,12
427,53
428,21
429,1173
43,53
431,21
432,53
433,21
434,12
435,928
436,928
437,21
438,21
439,51
44,21
441,22
442,21
443,829
444,21
445,46
446,19
447,22
448,19
449,35
45,13
451,13
452,12
453,21
454,5
455,12
456,18
