"student_user_No","question_No","좋은 문제인지","난이도","답변평가점수"
78787,1,NA,NA,NA
45286,2,3,2,NA
68332,3,NA,NA,NA
78916,4,3,3,5
116,5,NA,NA,NA
78918,6,3,2,NA
78916,7,3,3,4.33333
78912,8,3,2,NA
2645,9,3,3,NA
2645,1,4,3,NA
74454,11,3,1,NA
78751,12,3,3,4.66667
73646,13,3,2,NA
75675,14,4,3,NA
78913,15,3,2,NA
56718,16,4,3,NA
7898,17,3,2,NA
7897,18,4,2,1
7897,19,3,1,1
7494,2,3,2,NA
7899,21,4,3,4
7897,22,4,2,1
7891,23,3,2,NA
7896,24,3,2,5
7494,25,NA,NA,NA
712,26,4,2,5
74977,27,3,1,NA
74977,28,3,2,NA
41721,29,2,1,NA
73646,3,3,2,5
41721,31,3,2,NA
7894,32,3,2,NA
7135,33,3,2,5
789,34,4,2,5
78383,35,3,1,5
78894,36,3,1,5
789,37,3,2,5
56718,38,3,2,4.66667
68877,39,4,2,5
68877,4,3,2,5
78191,41,3,2,5
73646,42,4,2,5
72793,43,3,2,NA
72793,44,3,2,NA
7135,45,3,2,5
7719,46,3,2,5
7298,47,3,1,NA
7719,48,4,3,5
73646,49,3,2,5
7719,5,3,2,5
48958,51,3,2,5
23369,52,3,2,5
78191,53,3,2,5
78895,54,3,2,NA
69955,55,3,2,5
78894,56,3,2,5
69955,57,4,3,5
7889,58,3,2,NA
62967,59,3,2,5
62967,6,3,2,5
1588,61,NA,NA,NA
78886,62,4,2,NA
78886,63,NA,NA,NA
75675,64,4,2,5
78886,65,4,3,5
5293,66,3,2,NA
68581,67,5,2,NA
48197,68,3,2,NA
1991,69,3,2,5
765,7,3,2,NA
48197,71,4,3,5
5345,72,3,2,5
5345,73,5,3,5
5345,74,4,3,4.66667
23813,75,3,2,NA
56718,76,3,2,5
75467,77,3,2,NA
78877,78,3,2,NA
78878,79,4,1,5
78877,8,3,2,NA
3382,81,NA,NA,NA
49,82,3,2,NA
78874,83,3,2,NA
78869,84,3,2,5
5115,85,4,2,5
5115,86,3,2,5
5115,87,3,2,5
5115,88,3,2,5
78861,89,3,2,3.66667
5115,9,4,2,5
5115,91,4,3,5
5115,92,3,2,5
5115,93,3,2,5
5115,94,3,2,NA
5115,95,5,2,5
78865,96,NA,NA,NA
45448,97,3,2,5
2646,98,3,2,5
2646,99,3,2,NA
15431,1,3,2,5
78869,11,3,2,5
51266,12,3,2,5
51266,13,4,3,5
51266,14,3,2,5
51266,15,3,2,NA
514,16,4,3,NA
78865,17,NA,NA,NA
2645,18,5,2,NA
2645,19,3,3,NA
2645,11,3,2,NA
2645,111,3,3,NA
2645,112,3,2,NA
2645,113,3,3,NA
51266,114,3,2,5
2645,115,3,2,NA
2645,116,5,3,NA
2645,117,3,2,NA
2645,118,3,3,NA
2645,119,5,3,NA
2645,12,4,2,NA
2645,121,3,2,NA
2645,122,3,3,NA
2645,123,5,2,NA
2645,124,3,2,NA
2645,125,5,2,NA
75223,126,3,2,5
2645,127,3,2,NA
77628,128,4,2,5
446,129,4,2,5
7886,13,3,2,NA
51655,131,4,2,NA
73966,132,4,3,NA
15431,133,3,2,5
73966,134,3,2,NA
71168,135,4,2,NA
42438,136,3,2,5
42438,137,4,3,5
78859,138,3,2,NA
78857,139,3,2,5
77163,14,1,1,4.66667
77163,141,NA,NA,NA
77163,142,NA,NA,NA
77163,143,2,1,5
77163,144,NA,NA,NA
76516,145,3,2,5
68332,146,4,3,NA
68332,147,3,2,NA
23369,148,3,2,3.66667
23369,149,3,1,5
68332,15,4,3,NA
68332,151,3,3,NA
7885,152,3,2,5
78851,153,4,2,5
7885,154,3,2,4.66667
78849,155,4,2,4.33333
78821,156,2,3,5
73966,157,3,2,NA
51354,158,3,2,5
5357,159,3,2,5
78845,16,3,2,4
4181,161,3,2,5
4187,162,3,2,5
68332,163,3,2,NA
73966,164,3,2,5
4181,165,3,2,5
68332,166,3,2,NA
56419,167,3,3,5
51354,168,3,2,5
73966,169,4,3,5
43126,17,4,3,NA
69255,171,3,2,1
63865,172,3,2,4
69255,173,3,2,NA
69255,174,3,2,5
7518,175,3,2,NA
68332,176,4,3,5
73646,177,4,3,5
73646,178,3,3,5
73646,179,3,2,5
73646,18,4,2,5
69255,181,3,3,5
73646,182,4,3,5
73646,183,4,2,5
73646,184,4,2,5
55919,185,3,2,5
42164,186,3,2,NA
42164,187,3,2,NA
42164,188,3,2,NA
42164,189,3,2,NA
42164,19,3,2,NA
42164,191,1,1,NA
42164,192,1,1,NA
42164,193,3,2,NA
42164,194,3,2,NA
42164,195,3,2,NA
78834,196,4,3,5
42164,197,3,1,NA
42164,198,3,2,NA
66752,199,4,3,5
73966,2,4,3,5
42164,21,3,2,NA
69255,22,3,2,5
55919,23,4,3,5
69255,24,NA,NA,NA
73966,25,4,3,5
78563,26,3,2,5
78834,27,3,2,5
78824,28,4,3,NA
37298,29,3,3,NA
77519,21,4,3,5
61942,211,1,2,NA
77682,212,4,3,4.33333
78827,213,3,2,5
713,214,3,2,5
78827,215,3,2,5
