question_No,student_user_No,개념값,좋은 문제인지 ,난이도,답변평가점수,학교넘버,성별,등급,학년,수학점수,학교,지역
1,78787,51,0,\N,0,288,MAN,472,477,56,용산중학교,서울특별시
2,45286,48,3,2,0,1608,WOMAN,472,477,48,화홍중학교,경기도
3,68332,22,0,\N,0,10833,WOMAN,462,480,0,보라고등학교,경기도
4,78916,21,3,3,5,20,WOMAN,464,480,89,강릉여자고등학교,강원도
5,10106,21,0,\N,0,410,MAN,463,480,\N,동원고등학교,경기도
6,78918,21,3,2,0,10736,WOMAN,462,480,90,남원서진여자고등학교,전라북도
7,78916,21,3,3,4.33333,20,WOMAN,464,480,89,강릉여자고등학교,강원도
8,78912,62,3,2,0,3443,MAN,472,478,0,가재울중학교,서울특별시
9,26405,61,3,3,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
10,26405,63,4,3,0,921,WOMAN,472,478,\N,신일중학교,울산광역시
11,74454,1196,3,1,0,11342,MAN,462,481,88,서울중앙고등학교,서울특별시
12,78751,48,3,3,4.66667,919,WOMAN,472,477,82,성안중학교,울산광역시
13,73646,21,3,2,0,10318,WOMAN,465,480,57,서천고등학교,경기도
14,75675,32,4,3,0,7964,WOMAN,466,481,50,시지고등학교,대구광역시
15,78913,823,3,2,0,9585,MAN,473,699,70,인천소양초등학교,인천광역시
16,56718,13,4,3,0,8903,WOMAN,471,479,0,천안신방중학교,충청남도
17,78908,44,3,2,0,8466,WOMAN,472,477,83,천상중학교,울산광역시
18,78907,813,4,2,1,12249,WOMAN,472,698,70,부천송일초등학교,경기도
19,78907,813,3,1,1,12249,WOMAN,472,698,70,부천송일초등학교,경기도
20,70494,37,3,2,0,21,WOMAN,462,482,100,기타,
21,78909,1697,4,3,4,9470,WOMAN,473,477,50,언동중학교,경기도
22,78907,813,4,2,1,12249,WOMAN,472,698,70,부천송일초등학교,경기도
23,78910,39,3,2,0,1501,WOMAN,473,477,74,장자중학교,경기도
24,78906,21,3,2,5,8583,MAN,465,480,67,부천고등학교,경기도
25,70494,37,0,\N,0,21,WOMAN,462,482,100,기타,
26,70120,13,4,2,5,10136,WOMAN,471,479,97,덕계중학교,경기도
27,74977,44,3,1,0,6472,WOMAN,471,700,100,연화초등학교,충청남도
28,74977,44,3,2,0,6472,WOMAN,471,700,100,연화초등학교,충청남도
29,41721,19,2,1,0,10915,MAN,467,480,\N,금산고등학교,충청남도
30,73646,21,3,2,5,10318,WOMAN,465,480,57,서천고등학교,경기도
31,41721,19,3,2,0,10915,MAN,467,480,\N,금산고등학교,충청남도
32,78904,21,3,2,0,9145,WOMAN,463,480,60,형석고등학교,충청북도
33,71305,18,3,2,5,1113,WOMAN,463,480,60,장안제일고등학교,부산광역시
34,78900,52,4,2,5,3089,WOMAN,472,477,82,웅남중학교,경상남도
35,78383,825,3,1,5,12178,WOMAN,472,699,80,금신초등학교,경기도
36,78894,39,3,1,5,1755,WOMAN,473,477,84,치악중학교,강원도
37,78900,52,3,2,5,3089,WOMAN,472,477,82,웅남중학교,경상남도
38,56718,13,3,2,4.66667,8903,WOMAN,471,479,0,천안신방중학교,충청남도
39,68877,53,4,2,5,21,MAN,471,700,100,기타,
40,68877,53,3,2,5,21,MAN,471,700,100,기타,
41,78191,54,3,2,5,3253,WOMAN,473,477,83,무거중학교,울산광역시
42,73646,23,4,2,5,10318,WOMAN,465,480,57,서천고등학교,경기도
43,72793,48,3,2,0,322,WOMAN,472,477,80,정원여자중학교,서울특별시
44,72793,48,3,2,0,322,WOMAN,472,477,80,정원여자중학교,서울특별시
45,71305,18,3,2,5,1113,WOMAN,463,480,60,장안제일고등학교,부산광역시
46,77019,30,3,2,5,10122,MAN,462,480,80,동양고등학교,서울특별시
47,70298,18,3,1,0,454,WOMAN,466,480,0,명신여자고등학교,인천광역시
48,77019,30,4,3,5,10122,MAN,462,480,80,동양고등학교,서울특별시
49,73646,21,3,2,5,10318,WOMAN,465,480,57,서천고등학교,경기도
50,77019,30,3,2,5,10122,MAN,462,480,80,동양고등학교,서울특별시
51,48958,12,3,2,5,8466,WOMAN,471,479,100,천상중학교,울산광역시
52,23369,18,3,2,5,1226,WOMAN,472,479,\N,범계중학교,경기도
53,78191,54,3,2,5,3253,WOMAN,473,477,83,무거중학교,울산광역시
54,78895,64,3,2,0,1826,WOMAN,471,477,91,서경중학교,충청북도
55,69955,61,3,2,5,707,MAN,471,479,87,대전동화중학교,대전광역시
56,78894,39,3,2,5,1755,WOMAN,473,477,84,치악중학교,강원도
57,69955,61,4,3,5,707,MAN,471,479,87,대전동화중학교,대전광역시
58,78890,2113,3,2,0,1617,WOMAN,473,477,69,가곡중학교,강원도
59,62967,12,3,2,5,611,MAN,473,479,90,산곡남중학교,인천광역시
60,62967,12,3,2,5,611,MAN,473,479,90,산곡남중학교,인천광역시
61,15880,2112,0,\N,0,1617,WOMAN,472,477,\N,가곡중학교,강원도
62,78886,39,4,2,0,3669,WOMAN,472,700,100,논산중앙초등학교,충청남도
63,78886,39,0,\N,0,3669,WOMAN,472,700,100,논산중앙초등학교,충청남도
64,75675,32,4,2,5,7964,WOMAN,466,481,50,시지고등학교,대구광역시
65,78886,39,4,3,5,3669,WOMAN,472,700,100,논산중앙초등학교,충청남도
66,50293,51,3,2,0,608,WOMAN,472,477,89,북인천여자중학교,인천광역시
67,68581,64,5,2,0,9447,WOMAN,472,477,94,귀인중학교,경기도
68,48197,50,3,2,0,11101,WOMAN,473,477,36,해성중학교,경상남도
69,10991,12,3,2,5,7711,WOMAN,472,479,\N,순천연향중학교,전라남도
70,76500,1190,3,2,0,7217,WOMAN,463,481,70,전북여자고등학교,전라북도
71,48197,50,4,3,5,11101,WOMAN,473,477,36,해성중학교,경상남도
72,53045,47,3,2,5,2079,WOMAN,472,477,69,천안서여자중학교,충청남도
73,53045,48,5,3,5,2079,WOMAN,472,477,69,천안서여자중학교,충청남도
74,53045,48,4,3,4.66667,2079,WOMAN,472,477,69,천안서여자중학교,충청남도
75,23813,12,3,2,0,746,MAN,466,481,\N,세종고등학교,경상남도
76,56718,13,3,2,5,8903,WOMAN,471,479,0,천안신방중학교,충청남도
77,75467,13,3,2,0,124,MAN,472,477,90,방이중학교,서울특별시
78,78877,39,3,2,0,12033,WOMAN,472,700,95,황상초등학교,경상북도
79,78878,51,4,1,5,3173,WOMAN,471,477,100,합포중학교,경상남도
80,78877,39,3,2,0,12033,WOMAN,472,700,95,황상초등학교,경상북도
81,33820,16,0,\N,0,8981,WOMAN,464,481,\N,원화여자고등학교,대구광역시
82,40900,18,3,2,0,352,WOMAN,465,480,\N,대진여자고등학교,서울특별시
83,78874,39,3,2,0,1781,WOMAN,472,477,92,가경중학교,충청북도
84,78869,40,3,2,5,4004,WOMAN,472,700,100,천안월봉초등학교,충청남도
85,51150,14,4,2,5,21,MAN,471,479,100,기타,
86,51150,14,3,2,5,21,MAN,471,479,100,기타,
87,51150,14,3,2,5,21,MAN,471,479,100,기타,
88,51150,14,3,2,5,21,MAN,471,479,100,기타,
89,78861,2201,3,2,3.66667,12246,WOMAN,471,700,100,금반초등학교,경상남도
90,51150,14,4,2,5,21,MAN,471,479,100,기타,
91,51150,14,4,3,5,21,MAN,471,479,100,기타,
92,51150,14,3,2,5,21,MAN,471,479,100,기타,
93,51150,12,3,2,5,21,MAN,471,479,100,기타,
94,51150,12,3,2,0,21,MAN,471,479,100,기타,
95,51150,12,5,2,5,21,MAN,471,479,100,기타,
96,78865,28,0,\N,0,21,MAN,466,484,85,기타,
97,45448,18,3,2,5,319,WOMAN,466,480,40,대원고등학교,대구광역시
98,26406,19,3,2,5,21,WOMAN,464,484,\N,기타,
99,26406,18,3,2,0,21,WOMAN,464,484,\N,기타,
100,15431,18,3,2,5,21,MAN,466,484,\N,기타,
101,78869,40,3,2,5,4004,WOMAN,472,700,100,천안월봉초등학교,충청남도
