question_No,중단원_term_taxonomy_id,중단원,중단원_term_id,소단원_term_taxonomy_id,소단원,소단원_term_id,개념_term_taxonomy_id,개념,개념_term_id,student_user_No,level,good_Point,stars
1,49,중학 2-1,40,50,유리수와 순환소수,53,542,순환소수,451,69270,2,3,4.66667
2,38,중학 1-1,38,40,정수와 유리수,45,501,유리수의 덧셈과 뺄셈,411,79820,2,3,0
3,20,미적분1,13,23,다항함수의 미분법,26,238,미분가능과 연속,196,50502,2,3,0
4,20,미적분1,13,22,함수의 극한,25,220,함수의 극한,178,50502,2,3,0
5,11,수1,11,12,다항식,17,85,다항식의 나머지정리,74,79818,2,4,5
6,11,수1,11,12,다항식,17,86,인수정리,75,79818,2,4,5
7,29,미적분2,15,30,지수함수와 로그함수,31,148,로그함수의 활용,134,79163,2,3,0
8,20,미적분1,13,21,수열의 극한,24,216,극한의 기본성질,158,67334,3,4,5
9,29,미적분2,15,30,지수함수와 로그함수,31,296,주어진 조건을 만족시키는 다항함수 구하기,183,79163,2,4,5
10,29,미적분2,15,31,삼각함수,32,315,코사인법칙,170,79163,3,4,5
11,29,미적분2,15,31,삼각함수,32,319,삼각함수 배각공식,174,79163,3,4,0
12,821,초등 5-2,603,827,자료의 표현과 해석,716,915,통계,786,79008,2,3,5
13,821,초등 5-2,603,827,자료의 표현과 해석,716,799,확률,690,79008,2,5,5
14,15,수2,12,18,수열,22,257,함수의 그래프,215,50502,2,3,5
15,15,수2,12,17,함수,21,135,이차함수의 그래프1,121,50502,3,4,5
16,15,수2,12,17,함수,21,135,이차함수의 그래프1,121,50502,2,4,5
17,60,중학 3-1,42,61,실수와 그 계산,62,597,무리수와 실수,504,60314,1,3,5
18,43,중학 1-2,39,47,평면도형,51,528,다각형,437,49063,3,3,0
19,43,중학 1-2,39,47,평면도형,51,529,삼각형의 내각과 외각,438,49063,3,3,0
20,43,중학 1-2,39,47,평면도형,51,530,다각형의 내각과 외각,439,49063,3,3,0
21,15,수2,12,18,수열,22,152,등차수열,147,23369,3,3,4.33333
22,15,수2,12,18,수열,22,153,조화수열,148,23369,3,3,4.33333
23,15,수2,12,18,수열,22,154,등비수열,149,23369,3,3,4.33333
24,29,미적분2,15,33,적분법,34,362,정적분으로 나타내어진 함수,233,79811,1,3,5
25,1159,고1 과학,992,1165,에너지와 환경,998,1321,지구 에너지의 균형(지구과학),1121,78813,1,5,0
26,1159,고1 과학,992,1165,에너지와 환경,998,1322,온실 효과와 기후 변화(지구과학),1122,78813,1,5,0
27,11,수1,11,12,다항식,17,84,항등식의 성질,73,77300,2,1,0
28,11,수1,11,12,다항식,17,85,다항식의 나머지정리,74,50357,3,3,0
29,25,확률과 통계,14,27,확률,29,183,조건부 확률,316,79808,2,4,0
30,25,확률과 통계,14,27,확률,29,185,사건의 독립과 종속,318,79808,2,4,0
31,25,확률과 통계,14,27,확률,29,186,독립시행의 확률,319,79808,2,4,0
32,11,수1,11,12,다항식,17,1068,인수정리와 조립제법을 이용한 인수분해,918,58500,2,5,0
33,11,수1,11,13,방정식과 부등식,18,94,실수의 대소 관계와 절댓값,84,33820,2,4,0
34,11,수1,11,13,방정식과 부등식,18,597,무리수와 실수,504,33820,2,4,0
35,11,수1,11,13,방정식과 부등식,18,100,이차방정식의 해법,90,73966,2,3,5
36,20,미적분1,13,21,수열의 극한,24,218,무한급수의 극한,160,79805,3,5,0
37,49,중학 2-1,40,50,유리수와 순환소수,53,541,유리수와 유한소수,450,26405,2,3,0
38,49,중학 2-1,40,50,유리수와 순환소수,53,542,순환소수,451,26405,2,3,0
39,20,미적분1,13,22,함수의 극한,25,220,함수의 극한,178,68332,2,3,0
40,11,수1,11,13,방정식과 부등식,18,100,이차방정식의 해법,90,73966,2,3,5
41,49,중학 2-1,40,50,유리수와 순환소수,53,541,유리수와 유한소수,450,26405,2,3,0
42,15,수2,12,18,수열,22,154,등비수열,149,73721,3,5,0
43,20,미적분1,13,22,함수의 극한,25,231,함수의 연속,189,68332,3,4,0
44,20,미적분1,13,22,함수의 극한,25,232,연속함수의 성질,190,68332,3,4,0
45,20,미적분1,13,22,함수의 극한,25,233,함수가 연속일 조건,191,68332,3,4,0
46,11,수1,11,14,도형의 방정식,19,107,두 점 사이의 거리,97,78827,4,4,0
47,11,수1,11,12,다항식,17,85,다항식의 나머지정리,74,74616,2,3,0
48,20,미적분1,13,22,함수의 극한,25,231,함수의 연속,189,68332,3,4,0
49,11,수1,11,14,도형의 방정식,19,107,두 점 사이의 거리,97,78827,4,2,0
50,11,수1,11,14,도형의 방정식,19,118,대칭이동,108,78827,4,2,0
51,15,수2,12,18,수열,22,154,등비수열,149,73721,2,3,5
52,66,중학 3-2,43,68,피타고라스의 정리,68,629,피타고라스의 정리,68,78827,3,4,0
53,66,중학 3-2,43,68,피타고라스의 정리,68,630,삼각형의 각과 변 사이의 관계,531,78827,3,4,0
54,66,중학 3-2,43,68,피타고라스의 정리,68,631,피타고라스의 정리의 이용,532,78827,3,4,0
55,66,중학 3-2,43,68,피타고라스의 정리,68,632,평면도형에서의 활용,533,78827,3,4,0
56,15,수2,12,18,수열,22,156,자연수의 거듭제곱의 합,151,73966,2,2,5
57,49,중학 2-1,40,50,유리수와 순환소수,53,541,유리수와 유한소수,450,26405,2,5,0
58,20,미적분1,13,21,수열의 극한,24,215,무한수열의 극한,157,41544,2,3,5
59,66,중학 3-2,43,68,피타고라스의 정리,68,629,피타고라스의 정리,68,78827,3,3,5
60,66,중학 3-2,43,68,피타고라스의 정리,68,630,삼각형의 각과 변 사이의 관계,531,78827,3,3,5
61,66,중학 3-2,43,68,피타고라스의 정리,68,629,피타고라스의 정리,68,78827,3,3,0
62,66,중학 3-2,43,68,피타고라스의 정리,68,630,삼각형의 각과 변 사이의 관계,531,78827,3,3,0
63,66,중학 3-2,43,68,피타고라스의 정리,68,631,피타고라스의 정리의 이용,532,78827,3,3,0
64,66,중학 3-2,43,68,피타고라스의 정리,68,629,피타고라스의 정리,68,78827,3,3,0
65,66,중학 3-2,43,68,피타고라스의 정리,68,631,피타고라스의 정리의 이용,532,78827,3,3,0
66,66,중학 3-2,43,68,피타고라스의 정리,68,632,평면도형에서의 활용,533,78827,3,3,0
67,15,수2,12,18,수열,22,152,등차수열,147,73721,3,4,5
68,15,수2,12,18,수열,22,154,등비수열,149,73721,2,3,5
69,60,중학 3-1,42,63,이차방정식,64,611,이차방정식의 풀이,517,79799,2,4,2.33333
70,60,중학 3-1,42,63,이차방정식,64,612,이차방정식의 근의 공식,518,79799,2,4,2.33333
71,60,중학 3-1,42,63,이차방정식,64,610,이차방정식의 해(근),516,79799,2,3,4.66667
72,38,중학 1-1,38,39,수와 연산,44,486,소수와 합성수,396,79771,2,3,5
73,60,중학 3-1,42,62,식의 계산,63,600,제곱근의 곱셈과 나눗셈,507,79791,1,3,4
74,66,중학 3-2,43,68,피타고라스의 정리,68,629,피타고라스의 정리,68,78827,4,3,5
75,49,중학 2-1,40,50,유리수와 순환소수,53,548,단항식의 곱셈과 나눗셈,457,79636,1,3,0
76,38,중학 1-1,38,41,문자와 식,46,560,부등식,56,41730,2,4,0
77,38,중학 1-1,38,41,문자와 식,46,563,연립부등식,471,41730,2,4,0
78,38,중학 1-1,38,41,문자와 식,46,564,연립부등식의 풀이,472,41730,2,4,0
79,38,중학 1-1,38,41,문자와 식,46,565,A<B<C 꼴의 연립부등식,473,41730,2,4,0
80,20,미적분1,13,21,수열의 극한,24,215,무한수열의 극한,157,55819,2,3,5
81,38,중학 1-1,38,39,수와 연산,44,486,소수와 합성수,396,79771,3,3,4.33333
82,38,중학 1-1,38,39,수와 연산,44,487,거듭제곱,397,79771,3,3,4.33333
83,38,중학 1-1,38,39,수와 연산,44,488,소인수분해,398,79771,3,3,4.33333
84,38,중학 1-1,38,39,수와 연산,44,507,일차식의 덧셈과 뺄셈,416,79757,3,4,5
85,15,수2,12,19,지수와 로그,23,151,상용로그의 지표와 가수의 성질,137,11802,3,4,0
86,15,수2,12,17,함수,21,132,함수의 정의,118,79795,2,3,5
87,20,미적분1,13,21,수열의 극한,24,215,무한수열의 극한,157,70796,2,4,0
88,20,미적분1,13,22,함수의 극한,25,220,함수의 극한,178,10106,3,4,5
89,60,중학 3-1,42,61,실수와 그 계산,62,596,제곱근의 성질과 대소 관계,503,48897,1,1,0
90,20,미적분1,13,21,수열의 극한,24,216,극한의 기본성질,158,70796,3,4,0
91,20,미적분1,13,22,함수의 극한,25,220,함수의 극한,178,10106,2,3,5
92,15,수2,12,19,지수와 로그,23,146,로그의 정의와 성질,132,79793,1,3,5
93,60,중학 3-1,42,62,식의 계산,63,606,인수분해,513,79791,2,3,4
94,25,확률과 통계,14,26,순열과 조합,28,165,경우의 수,298,70919,2,3,5
95,20,미적분1,13,23,다항함수의 미분법,26,236,평균변화율,194,79790,2,3,0
96,60,중학 3-1,42,61,실수와 그 계산,62,595,제곱근의 뜻과 표현,502,48897,2,3,2
97,25,확률과 통계,14,26,순열과 조합,28,165,경우의 수,298,73435,2,3,5
98,25,확률과 통계,14,26,순열과 조합,28,165,경우의 수,298,79784,3,4,5
99,49,중학 2-1,40,51,식의 계산,54,549,다항식의 덧셈과 뺄셈,458,68548,2,3,5
100,49,중학 2-1,40,51,식의 계산,54,553,곱셈 공식의 변형,462,68548,2,3,5
101,20,미적분1,13,22,함수의 극한,25,220,함수의 극한,178,10106,2,3,5
102,25,확률과 통계,14,26,순열과 조합,28,165,경우의 수,298,68332,3,4,0
103,25,확률과 통계,14,26,순열과 조합,28,171,중복조합,304,68332,3,4,0
104,25,확률과 통계,14,26,순열과 조합,28,165,경우의 수,298,68332,3,4,0
105,11,수1,11,12,다항식,17,84,항등식의 성질,73,79788,2,3,5
106,11,수1,11,12,다항식,17,82,곱셈공식,71,79787,2,3,4
107,25,확률과 통계,14,26,순열과 조합,28,165,경우의 수,298,79784,3,4,0
108,20,미적분1,13,22,함수의 극한,25,239,도함수,197,59408,3,5,0
109,20,미적분1,13,22,함수의 극한,25,220,함수의 극한,178,59408,2,3,0
110,43,중학 1-2,39,47,평면도형,51,528,다각형,437,79779,3,4,5
111,38,중학 1-1,38,42,함수,47,514,함수의 뜻,423,79106,2,3,5
112,49,중학 2-1,40,51,식의 계산,54,547,지수법칙,456,68548,3,4,4
113,43,중학 1-2,39,44,통계,48,520,히스토그램과 도수분포다각형,429,79766,3,4,5
114,49,중학 2-1,40,51,식의 계산,54,547,지수법칙,456,79781,2,3,0
115,49,중학 2-1,40,51,식의 계산,54,547,지수법칙,456,79781,3,4,5
116,25,확률과 통계,14,26,순열과 조합,28,166,순열,299,79566,2,3,4.66667
117,15,수2,12,19,지수와 로그,23,140,지수법칙,126,79778,3,4,5
118,60,중학 3-1,42,61,실수와 그 계산,62,595,제곱근의 뜻과 표현,502,74124,2,3,5
119,15,수2,12,19,지수와 로그,23,140,지수법칙,126,52048,2,3,0
120,34,기하와 벡터,16,36,평면벡터,36,346,평면 운동에서의 속도와 가속도,217,45256,3,4,5
121,49,중학 2-1,40,54,일차함수,57,567,일차함수 y=ax+b(a=/0)의 그래프,475,79769,3,4,4.66667
122,20,미적분1,13,22,함수의 극한,25,220,함수의 극한,178,68332,3,4,0
123,11,수1,11,13,방정식과 부등식,18,1074,연립방정식 ,55,48188,3,4,0
124,1764,법과 정치,1506,1765,민주 정치와 법,1507,2055,정치의 의미와 민주 정치의 발전,1726,71775,1,4,5
125,66,중학 3-2,43,69,삼각비,69,634,삼각비,535,50799,3,4,0
126,66,중학 3-2,43,69,삼각비,69,636,삼각비의 활용,537,50799,3,4,0
127,15,수2,12,18,수열,22,159,점화식1,154,73966,3,4,5
128,15,수2,12,18,수열,22,160,점화식2,155,73966,3,4,5
129,15,수2,12,18,수열,22,161,점화식3,156,73966,3,4,5
130,20,미적분1,13,22,함수의 극한,25,220,함수의 극한,178,68332,2,3,0
131,66,중학 3-2,43,70,원의 성질,70,638,원주각,539,79773,2,3,5
132,66,중학 3-2,43,70,원의 성질,70,641,원과 비례,542,79773,2,3,5
133,66,중학 3-2,43,69,삼각비,69,636,삼각비의 활용,537,50799,2,3,0
134,66,중학 3-2,43,69,삼각비,69,634,삼각비,535,50799,3,4,0
135,701,초등 6-1,600,702,분수의 나눗셈,612,768,비례식의 성질,659,79433,2,4,0
136,935,초등 4-2,605,941,수의 범위와 어림,810,1052,이하,903,79770,1,3,0
137,935,초등 4-2,605,941,수의 범위와 어림,810,1054,이상,905,79770,1,3,0
138,935,초등 4-2,605,941,수의 범위와 어림,810,1056,수의 범위,907,79770,1,3,0
139,66,중학 3-2,43,69,삼각비,69,634,삼각비,535,50799,3,4,0
140,66,중학 3-2,43,69,삼각비,69,634,삼각비,535,50799,2,3,0
141,66,중학 3-2,43,69,삼각비,69,635,삼각비의 값,536,50799,2,3,0
142,701,초등 6-1,600,702,분수의 나눗셈,612,738,통분,629,79433,1,2,5
143,701,초등 6-1,600,702,분수의 나눗셈,612,739,대분수,630,79433,1,2,5
144,49,중학 2-1,40,51,식의 계산,54,547,지수법칙,456,68548,2,5,5
145,935,초등 4-2,605,943,규칙 찾기와 문제 해결,812,1011,규칙,862,79095,2,4,0
146,38,중학 1-1,38,39,수와 연산,44,487,거듭제곱,397,79757,2,3,4
147,11,수1,11,13,방정식과 부등식,18,158,여러 가지 수열의 합,153,73966,2,3,5
148,43,중학 1-2,39,47,평면도형,51,528,다각형,437,79747,3,4,0
149,701,초등 6-1,600,707,비율그래프,617,765,백분율,656,79764,3,4,5
150,20,미적분1,13,21,수열의 극한,24,216,극한의 기본성질,158,13085,2,3,0
151,20,미적분1,13,21,수열의 극한,24,215,무한수열의 극한,157,13085,2,3,0
152,20,미적분1,13,21,수열의 극한,24,216,극한의 기본성질,158,13085,2,3,0
153,20,미적분1,13,21,수열의 극한,24,215,무한수열의 극한,157,13085,3,4,0
154,2143,어법/어휘/작문,1802,2147,서술형 문제(논술제외),1806,2151,"명사 - 주어(S), 목적어(O), 보어(C) 역할. ",1809,79495,2,3,0
155,38,중학 1-1,38,39,수와 연산,44,487,거듭제곱,397,79757,2,3,4.66667
156,38,중학 1-1,38,40,정수와 유리수,45,494,정수,404,77747,1,4,0
157,11,수1,11,13,방정식과 부등식,18,102,근과 계수와의 관계,92,79664,2,3,5
158,935,초등 4-2,605,943,규칙 찾기와 문제 해결,812,1011,규칙,862,79095,1,3,5
159,11,수1,11,13,방정식과 부등식,18,99,일차방정식의 해법,89,79753,2,3,5
160,25,확률과 통계,14,26,순열과 조합,28,165,경우의 수,298,70919,2,3,5
161,20,미적분1,13,21,수열의 극한,24,215,무한수열의 극한,157,29215,3,4,5
162,49,중학 2-1,40,54,일차함수,57,567,일차함수 y=ax+b(a=/0)의 그래프,475,79753,2,3,5
163,49,중학 2-1,40,54,일차함수,57,571,일차함수의 식 구하기,479,79753,2,3,5
164,38,중학 1-1,38,39,수와 연산,44,486,소수와 합성수,396,79465,2,3,0
165,43,중학 1-2,39,47,평면도형,51,528,다각형,437,79747,3,4,4
166,11,수1,11,13,방정식과 부등식,18,1074,연립방정식 ,55,79664,3,4,5
167,1171,화학1,1004,1175,닮은 꼴 화학 반응,1008,1391,산화와 환원,1181,75675,3,4,0
168,1171,화학1,1004,1174,아름다운 분자 세계,1007,1391,산화와 환원,1181,75675,3,4,0
169,1171,화학1,1004,1174,아름다운 분자 세계,1007,1393,여러가지 산화-환원 반응,1183,75675,3,4,0
170,11,수1,11,14,도형의 방정식,19,114,원의 방정식,104,52363,2,3,0
171,11,수1,11,13,방정식과 부등식,18,1074,연립방정식 ,55,52363,2,3,0
172,25,확률과 통계,14,26,순열과 조합,28,165,경우의 수,298,29215,2,3,5
173,1171,화학1,1004,1175,닮은 꼴 화학 반응,1008,1391,산화와 환원,1181,75675,3,4,0
174,1171,화학1,1004,1175,닮은 꼴 화학 반응,1008,1391,산화와 환원,1181,75675,2,3,0
175,2143,어법/어휘/작문,1802,2146,작문/단어배열,1805,2151,"명사 - 주어(S), 목적어(O), 보어(C) 역할. ",1809,48566,2,3,4.66667
176,11,수1,11,13,방정식과 부등식,18,97,복소수의 연산,87,48188,2,3,5
