"student_user_No","성별","지역","학교넘버","학교","학년","등급","수학점수"
78787,"M","서울특별시",288,"용산중학교",477,472,56
45286,"F","경기도",168,"화홍중학교",477,472,48
68332,"F","경기도",1833,"보라고등학교",48,462,NA
78916,"F","강원도",2,"강릉여자고등학교",48,464,89
116,"M","경기도",41,"동원고등학교",48,463,NA
78918,"F","전라북도",1736,"남원서진여자고등학교",48,462,9
78912,"M","서울특별시",3443,"가재울중학교",478,472,NA
2645,"F","울산광역시",921,"신일중학교",478,472,NA
74454,"M","서울특별시",11342,"서울중앙고등학교",481,462,88
78751,"F","울산광역시",919,"성안중학교",477,472,82
73646,"F","경기도",1318,"서천고등학교",48,465,57
75675,"F","대구광역시",7964,"시지고등학교",481,466,5
78913,"M","인천광역시",9585,"인천소양초등학교",699,473,7
56718,"F","충청남도",893,"천안신방중학교",479,471,NA
7898,"F","울산광역시",8466,"천상중학교",477,472,83
7897,"F","경기도",12249,"부천송일초등학교",698,472,7
7494,"F","",21,"기타",482,462,1
7899,"F","경기도",947,"언동중학교",477,473,5
7891,"F","경기도",151,"장자중학교",477,473,74
7896,"M","경기도",8583,"부천고등학교",48,465,67
712,"F","경기도",1136,"덕계중학교",479,471,97
74977,"F","충청남도",6472,"연화초등학교",7,471,1
41721,"M","충청남도",1915,"금산고등학교",48,467,NA
7894,"F","충청북도",9145,"형석고등학교",48,463,6
7135,"F","부산광역시",1113,"장안제일고등학교",48,463,6
789,"F","경상남도",389,"웅남중학교",477,472,82
78383,"F","경기도",12178,"금신초등학교",699,472,8
78894,"F","강원도",1755,"치악중학교",477,473,84
68877,"M","",21,"기타",7,471,1
78191,"F","울산광역시",3253,"무거중학교",477,473,83
72793,"F","서울특별시",322,"정원여자중학교",477,472,8
7719,"M","서울특별시",1122,"동양고등학교",48,462,8
7298,"F","인천광역시",454,"명신여자고등학교",48,466,NA
48958,"F","울산광역시",8466,"천상중학교",479,471,1
23369,"F","경기도",1226,"범계중학교",479,472,NA
78895,"F","충청북도",1826,"서경중학교",477,471,91
69955,"M","대전광역시",77,"대전동화중학교",479,471,87
7889,"F","강원도",1617,"가곡중학교",477,473,69
62967,"M","인천광역시",611,"산곡남중학교",479,473,9
1588,"F","강원도",1617,"가곡중학교",477,472,NA
78886,"F","충청남도",3669,"논산중앙초등학교",7,472,1
5293,"F","인천광역시",68,"북인천여자중학교",477,472,89
68581,"F","경기도",9447,"귀인중학교",477,472,94
48197,"F","경상남도",1111,"해성중학교",477,473,36
1991,"F","전라남도",7711,"순천연향중학교",479,472,NA
765,"F","전라북도",7217,"전북여자고등학교",481,463,7
5345,"F","충청남도",279,"천안서여자중학교",477,472,69
23813,"M","경상남도",746,"세종고등학교",481,466,NA
75467,"M","서울특별시",124,"방이중학교",477,472,9
78877,"F","경상북도",1233,"황상초등학교",7,472,95
78878,"F","경상남도",3173,"합포중학교",477,471,1
3382,"F","대구광역시",8981,"원화여자고등학교",481,464,NA
49,"F","서울특별시",352,"대진여자고등학교",48,465,NA
78874,"F","충청북도",1781,"가경중학교",477,472,92
78869,"F","충청남도",44,"천안월봉초등학교",7,472,1
5115,"M","",21,"기타",479,471,1
78861,"F","경상남도",12246,"금반초등학교",7,471,1
78865,"M","",21,"기타",484,466,85
45448,"F","대구광역시",319,"대원고등학교",48,466,4
2646,"F","",21,"기타",484,464,NA
15431,"M","",21,"기타",484,466,NA
51266,"M","부산광역시",1175,"개금고등학교",48,467,NA
514,"F","",21,"기타",482,465,85
75223,"F","광주광역시",1676,"신창초등학교",7,471,1
77628,"F","",21,"기타",477,472,61
446,"F","서울특별시",971,"서울대치초등학교",699,472,NA
7886,"F","울산광역시",927,"옥동중학교",477,472,66
